"order_month","order_status","order_count"
"2016-09","delivered","1"
"2016-10","delivered","265"
"2016-10","canceled","20"
"2016-10","invoiced","18"
"2016-10","shipped","9"
"2016-10","unavailable","6"
"2016-10","processing","2"
"2016-12","delivered","1"
"2017-01","delivered","715"
"2017-01","shipped","16"
"2017-01","invoiced","11"
"2017-01","processing","8"
"2017-01","unavailable","8"
"2017-01","canceled","2"
"2017-02","delivered","1638"
"2017-02","unavailable","47"
"2017-02","processing","31"
"2017-02","shipped","21"
"2017-02","canceled","15"
"2017-02","invoiced","12"
"2017-02","approved","1"
"2017-03","delivered","2554"
"2017-03","shipped","45"
"2017-03","unavailable","32"
"2017-03","canceled","31"
"2017-03","processing","24"
"2017-03","invoiced","3"
"2017-04","delivered","2278"
"2017-04","shipped","49"
"2017-04","invoiced","14"
"2017-04","canceled","13"
"2017-04","processing","10"
"2017-04","unavailable","9"
"2017-04","approved","1"
"2017-05","delivered","3548"
"2017-05","shipped","54"
"2017-05","unavailable","32"
"2017-05","processing","24"
"2017-05","canceled","19"
"2017-05","invoiced","16"
"2017-06","delivered","3143"
"2017-06","shipped","48"
"2017-06","unavailable","24"
"2017-06","canceled","14"
"2017-06","processing","12"
"2017-06","invoiced","11"
"2017-07","delivered","3828"
"2017-07","shipped","54"
"2017-07","unavailable","52"
"2017-07","canceled","23"
"2017-07","processing","11"
"2017-07","invoiced","6"
"2017-08","delivered","4217"
"2017-08","shipped","41"
"2017-08","unavailable","31"
"2017-08","canceled","21"
"2017-08","invoiced","20"
"2017-08","processing","18"
"2017-09","delivered","4170"
"2017-09","shipped","40"
"2017-09","unavailable","37"
"2017-09","processing","21"
"2017-09","invoiced","17"
"2017-09","canceled","16"
"2017-10","delivered","4441"
"2017-10","unavailable","57"
"2017-10","shipped","33"
"2017-10","canceled","21"
"2017-10","processing","21"
"2017-10","invoiced","17"
"2017-11","delivered","7150"
"2017-11","unavailable","86"
"2017-11","shipped","71"
"2017-11","invoiced","34"
"2017-11","canceled","29"
"2017-11","processing","25"
"2017-12","delivered","5675"
"2017-12","shipped","58"
"2017-12","unavailable","43"
"2017-12","processing","35"
"2017-12","invoiced","14"
"2017-12","canceled","7"
"2018-01","delivered","6991"
"2018-01","shipped","73"
"2018-01","unavailable","47"
"2018-01","canceled","32"
"2018-01","processing","29"
"2018-01","invoiced","15"
"2018-02","delivered","6536"
"2018-02","canceled","71"
"2018-02","shipped","56"
"2018-02","unavailable","31"
"2018-02","processing","6"
"2018-02","invoiced","6"
"2018-03","delivered","7083"
"2018-03","shipped","134"
"2018-03","invoiced","23"
"2018-03","canceled","23"
"2018-03","unavailable","16"
"2018-03","processing","9"
"2018-04","delivered","6639"
"2018-04","shipped","99"
"2018-04","canceled","14"
"2018-04","invoiced","14"
"2018-04","processing","6"
"2018-04","unavailable","6"
"2018-05","delivered","6940"
"2018-05","shipped","54"
"2018-05","invoiced","24"
"2018-05","canceled","24"
"2018-05","unavailable","16"
"2018-05","processing","8"
"2018-06","delivered","6097"
"2018-06","shipped","42"
"2018-06","canceled","18"
"2018-06","unavailable","4"
"2018-06","invoiced","3"
"2018-07","delivered","6050"
"2018-07","shipped","62"
"2018-07","canceled","39"
"2018-07","invoiced","12"
"2018-07","unavailable","12"
"2018-07","processing","1"
"2018-08","delivered","6504"
"2018-08","shipped","47"
"2018-08","canceled","32"
"2018-08","invoiced","24"
"2018-08","unavailable","13"
"2018-09","shipped","1"
